time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,mflow_GHX_bypass,qghx_kW
0,0,0.704021122,409.290159,536.532229,0.848134705,6.298076556
1,0,0.70402903,409.2752535,536.5281328,0.846937011,5.952121838
2,0,0.704569693,409.2797261,536.5345258,0.845738025,5.609486614
3,0,0.704568476,409.2914555,536.533794,0.84453775,5.270164873
4,0,0.70675371,409.2937297,536.5460397,0.843336194,4.9341506
5,0,0.706139776,409.2984798,536.5532927,0.842133362,4.601437782
6,0,0.706124462,409.29859,536.5470555,0.84092926,4.272020406
7,0,0.707781955,409.3178087,536.5552598,0.839723893,3.945892458
8,0,0.710793547,409.3012555,536.5465049,0.838517267,3.623047925
9,0,0.710897013,409.3169774,536.559167,0.837309388,3.303480794
10,0,0.711427964,409.3280311,536.5563401,0.836100261,2.98718505
11,0,0.712945539,409.3326905,536.5731105,0.834889892,2.674154681
12,0,0.713024544,409.332911,536.574007,0.833678286,2.364383673
13,0,0.714874829,409.3445327,536.5821768,0.83246545,2.057866012
14,0,0.71538297,409.3291659,536.5831713,0.831251389,1.754595686
15,0,0.715399702,409.3466461,536.5862088,0.830036109,1.454566681
16,0,0.70944445,409.3643406,536.5967626,0.828819615,1.157772984
17,0,0.708979082,409.3571486,536.5908029,0.827601913,0.86420858
18,0,0.710385681,409.3722939,536.5950197,0.826383008,0.573867457
19,0,0.703281324,409.3825461,536.6006265,0.825162907,0.286743601
20,0,0.702590555,409.3890846,536.6030343,0.823941615,0.002830999
21,0,0.696229804,409.3856623,536.6053948,0.822719138,-0.277876363
22,0,0.697957491,409.3921393,536.6304645,0.821495481,-0.555384497
23,0,0.698227969,409.3895544,536.6272071,0.82027065,-0.829699419
24,0,0.700231487,409.4092911,536.6373844,0.819044651,-1.10082714
25,0,0.698351767,409.4102176,536.6391033,0.817817489,-1.368773674
26,0,0.698072178,409.4198788,536.627298,0.81658917,-1.633545036
27,0,0.702422715,409.4219392,536.6371383,0.815359699,-1.895147237
28,0,0.703036376,409.4202099,536.6322421,0.814129084,-2.153586292
29,0,0.70262031,409.4361229,536.6605801,0.812897328,-2.408868214
30,0,0.702176698,409.4332446,536.6484901,0.811664437,-2.660999016
31,0,0.702112529,409.4395186,536.6463325,0.810430419,-2.909984713
32,0,0.701741878,409.4486106,536.6569424,0.809195277,-3.155831316
33,0,0.702435671,409.4558685,536.6669387,0.807959018,-3.398544841
34,0,0.702568005,409.4610503,536.6629018,0.806721647,-3.638131299
35,0,0.706783838,409.4675012,536.6610224,0.80548317,-3.874596705
36,0,0.707589042,409.4646267,536.6624025,0.804243593,-4.107947072
37,0,0.706082626,409.4724023,536.6625558,0.803002922,-4.338188413
38,0,0.705911129,409.4824903,536.6763711,0.801761161,-4.565326742
39,0,0.705935961,409.4910184,536.6798958,0.800518317,-4.789368072
40,0,0.70382603,409.4930412,536.6878376,0.799274395,-5.010318417
41,0,0.704338176,409.4858177,536.6806045,0.798029402,-5.22818379
42,0,0.703776543,409.5078612,536.6999991,0.796783342,-5.442970204
43,0,0.6999437,409.5138965,536.6957481,0.795536222,-5.654683673
44,0,0.699049132,409.5190258,536.6995649,0.794288046,-5.863330211
45,0,0.700101635,409.5254717,536.7086263,0.793038822,-6.06891583
46,0,0.703074299,409.5262333,536.6971214,0.791788554,-6.271446545
