iter,n_files,rmse_m,rmse_q,mae_m,mae_q,r2_m,r2_q
1,10,0.058847398,6.6983547,0.053752407,5.4535565,0.957758605,0.997375488
2,30,0.08919333,7.07552,0.07694697,7.3845925,0.902960479,0.995182157
3,50,0.04762414,8.991892,0.037866317,7.8589783,0.972334504,0.995270491
4,70,0.0423347,7.6423316,0.03362317,7.0705967,0.978138685,0.996583641
5,90,0.039875943,4.3931847,0.030259902,3.9208674,0.980604291,0.998871088
6,110,0.035539355,4.347047,0.027021954,3.9671662,0.984593511,0.998894632
7,130,0.031577475,3.20225,0.023293067,2.6933017,0.987837076,0.999400198
8,150,0.038420726,3.8038313,0.027663821,3.4738,0.981994092,0.999153614
9,170,0.0325221,3.1606631,0.02546913,2.5627394,0.987098455,0.999415636
10,190,0.032156672,3.2195141,0.024860954,2.6766725,0.987386763,0.999393702
11,210,0.029947102,2.1387858,0.022665562,1.6735144,0.989060581,0.999732435
12,230,0.031309098,2.7569823,0.022653949,2.2146769,0.988042951,0.999555409
13,250,0.031705093,2.5998204,0.024416018,2.214152,0.98773855,0.999604642
14,270,0.032051273,3.2872017,0.02446495,3.1051764,0.987469316,0.999204755
15,290,0.03532955,3.2470853,0.0264481,2.7909896,0.984774888,0.999383271
16,310,0.034269284,3.0160296,0.025438283,2.5111377,0.985675037,0.999467909
17,330,0.034145154,2.9589427,0.025772968,2.4116194,0.98577863,0.999487877
18,350,0.029653693,3.1922261,0.022764781,2.9725678,0.989273906,0.999286652
19,370,0.032364484,2.9580135,0.024075195,2.2461548,0.987223208,0.999488175
20,374,0.02786533,3.0374553,0.02134665,2.4711778,0.990528643,0.99946034
